DisplayName,AverageScore
mattshane,7173
bill,4482
B Bycroft,3765
2cBGj7vsfp,3689
Jorge E. Cardona,3362.5
Andrie,3109
Kaitlin Duck Sherwood,2933
lfx_cool,2419
user473598,2051
Ivan Baev,1971
Daniel Howard,1966
jonny five,1939
sinoohe,1926
Roni Yaniv,1891.5
ian,1875
Julie Raswick,1734
Robert Wills,1517
gargamel,1489
Kyle H,1455
user4315,1400.5
qyb2zm302,1298.5
Conor,1296
intrepion,1293
guinaps,1252.5
Lukas,1223.33333333333
Zunino,1199
M Perry,1159
user28409,1127
Jeff Hill,1098.4
John,1072
Frank Bozzo,1057
Sebastian Otto,1032
Joan,1003
gar,999
Ku Jon,995
Guillaume Dubois,992
Jake Stewart,991
albruno,948
user65374,932
Fawa,911
David Read,898
Carlo Bos,888
iMack,858.666666666667
Jordan Garis,857
mike,854
Cyber,849
Johnny Maelstrom,839.5
john garcias,834
fred,825
Rémy van Duijkeren,824
user408841,821
bcasp,817.285714285714
okada,811
John,779
kirby,774
jomey,768
Eric B,768
Manoj,764
Ben,761
Mark,745
yesthatguy,730
user167628,729
Alan,727
Emma,724.333333333333
Abe,724
sw234,722
Mahendra,715
nbeagle,712
Thorsten,696
Tom,691
Jarek Zmudzinski,689
Mkk,685
Datageek,685
Gidgidonihah,673
Robert23,666
mbrannig,662
Joseph Silber,643
falmp,643
George Y.,640
kdenney,636
Bhimesh Chinta,635
Callisto,625
Mahzilla,619
JSS,614
mpmeyer,613
Frankomania,612
Mark,609
Piet Bijl,609
Rick,606.333333333333
not-just-yeti,606
Simon,604.5
daralthus,598
Bert Hekman,593
Arec Barrwin,592.111111111111
VeryNewToPython,591
user259973,589
Miša Peić,582
Sandeep,576
radoulov,574
Eggs McLaren,573
John Resig,566.6
Rognon,566
Guria,565
Tim,564.6
lYriCAlsSH,560.25
HMW,557
daveilers,557
Merrill,555
L.R.,549
Resh,545
Ken Abrams,536
Jlew,533
Guna,531
blivet,524
nirg,523
cdyson37,522
lucianosousa,520
user164176,514
John,513
Alexey Vishentsev,513
aboSamoor,512.666666666667
Peter B,512.333333333333
Umang,509
chockenberry,504.5
blacktiger,493.333333333333
Freddy,491
Tamer,489
spence91,487.5
RPDP,487.5
thedjpetersen,484.333333333333
quest49,481.666666666667
Alya,481
duhhunjonn,479.714285714286
vardhan,479
rolfen,478
gramm,472.875
jschrab,465.8
Tyrone Slothrop,465.75
knaser,465.5
tboswell,465
jshree,464
Goran Martinic,457.125
Alan Kay,456
georgeliquor,456
Kevin,451
Mauro,450
Melvin Peter,446
Saad,444
MIP,442
Alex,441
Firose Hussain,441
Michael Gustus,440
Crazy Serb,437.928571428571
mepster,431
amar,429
cODAR,429
Pepper Lebeck-Jobe,428
Ryan,427
Scott Noyes,426
user25785,423
tom,422
dil,420
Brandon Manchester,419
dmanxiii,416
Maven,416
wwwxml,415
Stefan Karlsson,410
mike.toString,410
yota,410
EfForEffort,409.594594594595
jurka,406.5
Narcélio Filho,402.5
netawater,402
user32736,400
Jean,399
mpoisot,394
Carter Page,394
Tim,394
spencercooly,394
Alex Soto,391
Jamie Flournoy,390.555555555556
Luc,390
Captain kurO,390
Jan Żankowski,390
TedTel,389
user8170,388
David,387
Glenn,386
david,382
jquerynewbie,381
kimchy,380
emu,379
JD Graffam,378
Parimal Modi,377
Matthew Rankin,375.597701149425
dau_man,375
Anonymous User,373
Michael Baylon,371
Nick May,370
Guy Davidson,370
