DisplayName,TotalPosts,TotalComments,TotalBadges
Jon Skeet,11354,13360,2821
Marc Gravell,6508,7421,916
Darin Dimitrov,6057,3878,243
Nick Craver,5985,8634,229
Hans Passant,5584,6281,149
Alex Martelli,5437,3714,533
BalusC,5289,8050,229
SLaks,4901,6638,351
Pekka 웃,4874,12069,255
Pascal Thivent,4747,4921,196
Ignacio Vazquez-Abrams,4437,3454,203
tvanfosson,4369,3130,394
marc_s,3987,4713,184
JaredPar,3961,2334,707
Mark Byers,3855,4628,471
VonC,3719,3207,361
Gumbo,3622,4736,223
bobince,3547,4101,232
Sarfraz,3526,2793,102
paxdiablo,3478,4878,521
John Saunders,3445,8725,137
Joel Coehoorn,3339,3537,492
Guffa,3335,2262,155
Reed Copsey,3241,2966,367
Bozho,3172,3857,179
S.Lott,3156,9114,383
duffymo,3062,2679,142
cletus,3060,2090,614
Oded,2906,3785,219
CommonsWare,2902,2357,58
Jonathan Leffler,2807,5609,199
ghostdog74,2795,1542,42
Greg Hewgill,2781,2372,654
Jerry Coffin,2710,1951,182
Quassnoi,2663,2632,182
gbn,2643,2609,99
kennytm,2639,3660,322
Matthew Flaschen,2537,3422,162
OMG Ponies,2528,6269,120
Remus Rusanu,2471,1926,89
Aaron Digulla,2452,2048,138
Mitch Wheat,2436,4268,222
AnthonyWJones,2410,2930,130
Quentin,2379,3262,134
Andrew Hare,2335,1357,373
Stephen C,2308,3024,80
skaffman,2226,3553,151
Mehrdad Afshari,2213,2823,631
Robert Harvey,2177,3068,146
Pascal MARTIN,2121,1321,185
CMS,2094,1227,394
Justin Niessner,2083,1255,209
Michael Borgwardt,2010,1783,210
Tomalak,1981,4402,168
codaddict,1964,698,259
Bill Karwin,1917,1919,219
Michael Burr,1904,2362,262
HLGEM,1859,1782,56
Henk Holterman,1857,3388,103
Brian Agnew,1844,1113,133
Thorbjørn Ravn Andersen,1823,2494,49
Adriaan Stander,1818,1100,69
Johannes Schaub - litb,1800,5806,537
Craig Stuntz,1792,2229,117
meder omuraliev,1763,1786,112
Thomas Levesque,1709,1978,90
karim79,1690,1552,109
rahul,1667,1182,92
nickf,1658,1849,332
Konrad Rudolph,1649,2739,525
Peter Hosey,1626,2866,74
unwind,1593,763,197
Gordon,1579,3560,84
Amber,1574,1487,111
alex,1547,2760,152
Tom Hawtin - tackline,1546,3076,95
polygenelubricants,1534,1905,287
Marcelo Cantos,1521,1897,118
sharptooth,1521,1806,192
Daniel Vassallo,1517,1446,145
MSalters,1509,3323,52
caf,1494,2480,95
OscarRyz,1489,2108,180
Lasse Vågsæther Karlsen,1487,2492,267
Brian R. Bondy,1476,1357,473
Pointy,1475,3464,62
Cade Roux,1468,866,81
kgiannakakis,1464,479,86
leppie,1458,2481,99
KM.,1454,2120,48
